English (default),English (default),LANGUAGE_CODE,
English,English,LANGUAGE_NAME_en,
Français,Français,LANGUAGE_NAME_fr,
Deutsch,Deutsch,LANGUAGE_NAME_de,
Español,Español,LANGUAGE_NAME_es,
Español Latino Americano,Español Latino Americano,LANGUAGE_NAME_es-419,
Português,Português,LANGUAGE_NAME_pt,
Italiano,Italiano,LANGUAGE_NAME_it,
日本語,日本語,LANGUAGE_NAME_jp,
한국어,한국어,LANGUAGE_NAME_ko,
BRO {0},兄贵 {0},BRO,
{0} SECONDS LEFT,剩余{0}秒,CAMPAIGN_SECONDS_LEFT,
[HAS JOINED],[ 已加入 ],CHAT_HAS_JOINED,
Requesting Host Restart,请求主机重启,CHAT_HOST_RESTART,
[IS HOSTING NOW],[ 创建主机中 ],CHAT_IS_HOSTING,
BEST,最佳,CUSTOM_CAMPAIGN_BEST,
BROTAL,兄残,CUSTOM_CAMPAIGN_BROTAL,
CHALLENGING,挑战,CUSTOM_CAMPAIGN_CHALLENGING,
Hot off the presses!,新鲜出炉！,CUSTOM_CAMPAIGN_DESCRIPTION_1,
The Best of the Best!,精品中的精品！,CUSTOM_CAMPAIGN_DESCRIPTION_2,
Hippest Map Around,周围最火爆的地图,CUSTOM_CAMPAIGN_DESCRIPTION_3,
"You just Can’t Get Enough Of these guys, can you?",你还是意犹未尽，对吧？,CUSTOM_CAMPAIGN_DESCRIPTION_4,
Suppose you have to play these maps...,我看你必须玩下这些地图……,CUSTOM_CAMPAIGN_DESCRIPTION_5,
Weekend Workshop Brodown Competition Winners,周末工坊兄贵赛获胜图,CUSTOM_CAMPAIGN_DESCRIPTION_6,
Unpublished and Locally Saved Maps,未发布的本机地图,CUSTOM_CAMPAIGN_DESCRIPTION_7,
DOWNLOADING,下载中,CUSTOM_CAMPAIGN_DOWNLOADING,
No Description Provided,未提供描述,CUSTOM_CAMPAIGN_NODESCRIP,
TRENDING,热度,CUSTOM_CAMPAIGN_TRENDING,
VOTES,票数,CUSTOM_CAMPAIGN_VOTES,
BLRRGGGGG,卟啦啦,CUTSCENE_ACIDCRAWLER,
TORQUED FOR TERROR,扭转恐怖,CUTSCENE_BONEWURM,
TACO HELL,墨西哥卷饼地狱,CUTSCENE_BOOMER,
JOINS THE BATTLE,加入战斗,CUTSCENE_BRO_UNLOCK,
